ElementId,Category,Family,Type,Level,Mark,Assembly Code,Assembly Description,Length,Width,Depth,Height,Area,Volume,Weight,Unit Weight,Material,Type Comments,Base Level,Top Level,Base Offset,Top Offset,Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Comments,Parameter Snapshot
1940770,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"7' - 0""",,"0' - 5""","0' - 5""",4 SF,0.61 CF,,,Aluminum,,,,,,Point,3.725,208.854,17,,,,,,,180,3.621,208.645,17,3.829,209.062,24,3.725,208.854,20.5,,"Area=4 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=7' - 0"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.61 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1941093,Walls,,Storefront - EXTERIOR ISLAND,L 1,,B2010,Exterior Walls,"9' - 4""",,,,63 SF,,,,,,,,"2' - 0""","0' - 0""",Curve,13.548,208.854,15,18.215,208.854,15,8.882,208.854,15,,8.882,208.354,17,18.215,209.354,24,13.548,208.854,20.5,,"Adjust for Mullion Size=False | Area=63 SF | Assembly Code=B2010 | Assembly Description=Exterior Walls | Base Offset=2' - 0"" | Border 1 Type=2.5"" x 5"" rectangular | Border 2 Type=2.5"" x 5"" rectangular | Export Type to IFC=0 | Family and Type=Storefront - EXTERIOR ISLAND | Interior Type=2.5"" x 5"" rectangular | Length=9' - 4"" | Offset=0' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Storefront - EXTERIOR ISLAND | Type Id=Storefront - EXTERIOR ISLAND | Type IfcGUID=21niu4ukDA1u2Qnv1EMNlF | Type Mark=CW03 | Type Name=Storefront - EXTERIOR ISLAND | Unconnected Height=7' - 0"""
1941094,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 2 1/4""","0' - 1""","6' - 7""",28 SF,2.30 CF,,,Glass,,,,,,BoundingBox,15.579,208.958,20.5,,,,,,,,13.486,208.916,17.208,17.673,208.999,23.792,15.579,208.958,20.5,,"Area=28 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=6' - 7"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=2.30 CF | Width=4' - 2 1/4"""
1941096,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 2 1/4""","0' - 1""","6' - 7""",28 SF,2.30 CF,,,Glass,,,,,,BoundingBox,11.184,208.958,20.5,,,,,,,,9.09,208.916,17.208,13.277,208.999,23.792,11.184,208.958,20.5,,"Area=28 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=6' - 7"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=2.30 CF | Width=4' - 2 1/4"""
1941097,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 2 1/4""",,"0' - 5""","0' - 5""",3 SF,0.36 CF,,,Aluminum,,,,,,Point,9.09,208.854,24,,,,,,,270,9.09,208.645,23.792,13.277,209.062,24,11.184,208.854,23.896,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 2 1/4"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.36 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1941098,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 2 1/4""",,"0' - 5""","0' - 5""",3 SF,0.36 CF,,,Aluminum,,,,,,Point,13.486,208.854,24,,,,,,,270,13.486,208.645,23.792,17.673,209.062,24,15.579,208.854,23.896,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 2 1/4"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.36 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1941099,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 2 1/4""",,"0' - 5""","0' - 5""",3 SF,0.36 CF,,,Aluminum,,,,,,Point,17.673,208.854,17,,,,,,,270,13.486,208.645,17,17.673,209.062,17.208,15.579,208.854,17.104,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 2 1/4"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.36 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1941100,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 2 1/4""",,"0' - 5""","0' - 5""",3 SF,0.36 CF,,,Aluminum,,,,,,Point,13.277,208.854,17,,,,,,,270,9.09,208.645,17,13.277,209.062,17.208,11.184,208.854,17.104,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 2 1/4"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.36 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1941101,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"7' - 0""",,"0' - 5""","0' - 5""",4 SF,0.61 CF,,,Aluminum,,,,,,Point,8.882,208.854,17,,,,,,,180,8.882,208.645,17,9.09,209.062,24,8.986,208.854,20.5,,"Area=4 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=7' - 0"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.61 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1941102,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"7' - 0""",,"0' - 5""","0' - 5""",4 SF,0.61 CF,,,Aluminum,,,,,,Point,17.882,208.854,24,,,,,,,360,17.673,208.645,17,17.882,209.062,24,17.777,208.854,20.5,,"Area=4 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=7' - 0"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.61 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1941103,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"7' - 0""",,"0' - 5""","0' - 5""",4 SF,0.61 CF,,,Aluminum,,,,,,Point,13.382,208.854,17,,,,,,,180,13.277,208.645,17,13.486,209.062,24,13.382,208.854,20.5,,"Area=4 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=7' - 0"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.61 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
1941152,Walls,,Storefront - EXTERIOR ISLAND,L 1,,B2010,Exterior Walls,"9' - 4""",,,,63 SF,,,,,,,,"2' - 0""","0' - 0""",Curve,23.215,208.854,15,27.882,208.854,15,18.548,208.854,15,,18.548,208.354,17,27.882,209.354,24,23.215,208.854,20.5,,"Adjust for Mullion Size=False | Area=63 SF | Assembly Code=B2010 | Assembly Description=Exterior Walls | Base Offset=2' - 0"" | Border 1 Type=2.5"" x 5"" rectangular | Border 2 Type=2.5"" x 5"" rectangular | Export Type to IFC=0 | Family and Type=Storefront - EXTERIOR ISLAND | Interior Type=2.5"" x 5"" rectangular | Length=9' - 4"" | Offset=0' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Storefront - EXTERIOR ISLAND | Type Id=Storefront - EXTERIOR ISLAND | Type IfcGUID=21niu4ukDA1u2Qnv1EMNlF | Type Mark=CW03 | Type Name=Storefront - EXTERIOR ISLAND | Unconnected Height=7' - 0"""
