ElementId,Category,Family,Type,Level,Mark,Assembly Code,Assembly Description,Length,Width,Depth,Height,Area,Volume,Weight,Unit Weight,Material,Type Comments,Base Level,Top Level,Base Offset,Top Offset,Location Type,Position X (ft),Position Y (ft),Position Z (ft),Start X (ft),Start Y (ft),Start Z (ft),End X (ft),End Y (ft),End Z (ft),Rotation (deg),Bounding Box Min X (ft),Bounding Box Min Y (ft),Bounding Box Min Z (ft),Bounding Box Max X (ft),Bounding Box Max Y (ft),Bounding Box Max Z (ft),Bounding Box Center X (ft),Bounding Box Center Y (ft),Bounding Box Center Z (ft),Comments,Parameter Snapshot
1383939,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 31/32""","0' - 1""","3' - 8 1/4""",17 SF,1.41 CF,,,Glass,,,,,,BoundingBox,117.032,159.729,24.948,,,,,,,,114.741,159.687,23.104,119.322,159.77,26.792,117.032,159.729,24.948,,"Area=17 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=3' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=1.41 CF | Width=4' - 6 31/32"""
1383940,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 31/32""","0' - 1""","3' - 8 1/4""",17 SF,1.41 CF,,,Glass,,,,,,BoundingBox,112.243,159.729,24.948,,,,,,,,109.952,159.687,23.104,114.533,159.77,26.792,112.243,159.729,24.948,,"Area=17 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=3' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=1.41 CF | Width=4' - 6 31/32"""
1383941,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 31/32""","0' - 1""","3' - 8 1/4""",17 SF,1.41 CF,,,Glass,,,,,,BoundingBox,107.454,159.729,24.948,,,,,,,,105.163,159.687,23.104,109.744,159.77,26.792,107.454,159.729,24.948,,"Area=17 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=3' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=1.41 CF | Width=4' - 6 31/32"""
1383942,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 31/32""","0' - 1""","3' - 8 1/4""",17 SF,1.41 CF,,,Glass,,,,,,BoundingBox,102.665,159.729,24.948,,,,,,,,100.375,159.687,23.104,104.955,159.77,26.792,102.665,159.729,24.948,,"Area=17 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=3' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=1.41 CF | Width=4' - 6 31/32"""
1383943,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 31/32""","0' - 1""","3' - 8 1/4""",17 SF,1.41 CF,,,Glass,,,,,,BoundingBox,97.876,159.729,24.948,,,,,,,,95.586,159.687,23.104,100.166,159.77,26.792,97.876,159.729,24.948,,"Area=17 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=3' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=1.41 CF | Width=4' - 6 31/32"""
1383944,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 31/32""","0' - 1""","3' - 8 1/4""",17 SF,1.41 CF,,,Glass,,,,,,BoundingBox,93.087,159.729,24.948,,,,,,,,90.797,159.687,23.104,95.377,159.77,26.792,93.087,159.729,24.948,,"Area=17 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=3' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=1.41 CF | Width=4' - 6 31/32"""
1383945,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 31/32""","0' - 1""","3' - 8 1/4""",17 SF,1.41 CF,,,Glass,,,,,,BoundingBox,88.298,159.729,24.948,,,,,,,,86.008,159.687,23.104,90.588,159.77,26.792,88.298,159.729,24.948,,"Area=17 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=3' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=1.41 CF | Width=4' - 6 31/32"""
1383946,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 31/32""","0' - 1""","3' - 8 1/4""",17 SF,1.41 CF,,,Glass,,,,,,BoundingBox,83.509,159.729,24.948,,,,,,,,81.219,159.687,23.104,85.8,159.77,26.792,83.509,159.729,24.948,,"Area=17 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=3' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=1.41 CF | Width=4' - 6 31/32"""
1383947,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 31/32""","0' - 1""","3' - 8 1/4""",17 SF,1.41 CF,,,Glass,,,,,,BoundingBox,78.72,159.729,24.948,,,,,,,,76.43,159.687,23.104,81.011,159.77,26.792,78.72,159.729,24.948,,"Area=17 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=3' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=1.41 CF | Width=4' - 6 31/32"""
1383948,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 31/32""","0' - 1""","3' - 8 1/4""",17 SF,1.41 CF,,,Glass,,,,,,BoundingBox,73.932,159.729,24.948,,,,,,,,71.641,159.687,23.104,76.222,159.77,26.792,73.932,159.729,24.948,,"Area=17 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=3' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=1.41 CF | Width=4' - 6 31/32"""
1383949,Curtain Panels,System Panel,Glazed,L 1,,,,,"4' - 6 31/32""","0' - 1""","3' - 8 1/4""",17 SF,1.41 CF,,,Glass,,,,,,BoundingBox,69.143,159.729,24.948,,,,,,,,66.852,159.687,23.104,71.433,159.77,26.792,69.143,159.729,24.948,,"Area=17 SF | Construction Type Id=GSP4R | Export Type to IFC=0 | Family and Type=Glazed | Height=3' - 8 1/4"" | Level=L 1 | Material=Glass | Offset=0' - 1 1/4"" | Thickness=0' - 1"" | Type=Glazed | Type Id=Glazed | Type IfcGUID=2kuA36Oo8Hr98b0026FtOP | Type Name=Glazed | Volume=1.41 CF | Width=4' - 6 31/32"""
1383979,Curtain Wall Mullions,Rectangular Mullion,"2.5"" x 5"" rectangular",L 1,,,,"4' - 5 23/32""",,"0' - 5""","0' - 5""",3 SF,0.39 CF,,,Aluminum,,,,,,Point,119.53,159.833,27,,,,,,,270,119.53,159.624,26.792,124.007,160.041,27,121.768,159.833,26.896,,"Area=3 SF | Export Type to IFC=0 | Family and Type=2.5"" x 5"" rectangular | Length=4' - 5 23/32"" | Level=L 1 | Material=Aluminum | Offset=0' - 0"" | Thickness=0' - 5"" | Type=2.5"" x 5"" rectangular | Type Id=2.5"" x 5"" rectangular | Type IfcGUID=2mjs6M6G98BxHa18ZZD6Tx | Type Name=2.5"" x 5"" rectangular | Volume=0.39 CF | Width on side 1=0' - 1 1/4"" | Width on side 2=0' - 1 1/4"""
