ElementId,Category,Family,Type,Level,Mark,System Name,System Type,Service Type,Classification,Size,Diameter,Width,Height,Length,Area,Volume,Material,Weight,Unit Weight,Insulation Thickness,Lining Thickness,Airflow,Flow,Pressure Drop,Cooling Capacity,Heating Capacity,Power,Voltage,Current,Apparent Load,Connected Load,Connector Count,Connector Flow,Connector Demand,Connector Max Diameter (in),Connector Max Width (in),Connector Max Height (in),Comments,Parameter Snapshot
1054448,Flex Ducts,,Flex - Round,L 0,,Mechanical Supply Air 1,Supply Air,,,"6""ø","6""",,,"3' - 0 1/2""",,,,,,"0""","0""",180 m³/h,180 m³/h,0.00 in-wg,,,,,,,,2,3.531,,6,,,,"Additional Flow=0 m³/h | Diameter=6"" | Flow=180 m³/h | Free Size=6""ø | Hydraulic Diameter=6"" | Insulation Thickness=0"" | Length=3' - 0 1/2"" | Lining Thickness=0"" | Overall Size=6""ø | Pressure Drop=0.00 in-wg | Size Lock=False | Velocity Pressure=0.02 in-wg"
1054454,Flex Ducts,,Flex - Round,L 0,,Mechanical Supply Air 1,Supply Air,,,"6""ø","6""",,,"3' - 0 1/2""",,,,,,"0""","0""",180 m³/h,180 m³/h,0.00 in-wg,,,,,,,,2,3.531,,6,,,,"Additional Flow=0 m³/h | Diameter=6"" | Flow=180 m³/h | Free Size=6""ø | Hydraulic Diameter=6"" | Insulation Thickness=0"" | Length=3' - 0 1/2"" | Lining Thickness=0"" | Overall Size=6""ø | Pressure Drop=0.00 in-wg | Size Lock=False | Velocity Pressure=0.02 in-wg"
1054459,Flex Ducts,,Flex - Round,L 0,,Mechanical Supply Air 1,Supply Air,,,"6""ø","6""",,,"3' - 0 1/2""",,,,,,"0""","0""",180 m³/h,180 m³/h,0.00 in-wg,,,,,,,,2,3.531,,6,,,,"Additional Flow=0 m³/h | Diameter=6"" | Flow=180 m³/h | Free Size=6""ø | Hydraulic Diameter=6"" | Insulation Thickness=0"" | Length=3' - 0 1/2"" | Lining Thickness=0"" | Overall Size=6""ø | Pressure Drop=0.00 in-wg | Size Lock=False | Velocity Pressure=0.02 in-wg"
1054464,Flex Ducts,,Flex - Round,L 0,,Mechanical Supply Air 1,Supply Air,,,"6""ø","6""",,,"2' - 10 5/8""",,,,,,"0""","0""",180 m³/h,180 m³/h,0.00 in-wg,,,,,,,,2,3.531,,6,,,,"Additional Flow=0 m³/h | Diameter=6"" | Flow=180 m³/h | Free Size=6""ø | Hydraulic Diameter=6"" | Insulation Thickness=0"" | Length=2' - 10 5/8"" | Lining Thickness=0"" | Overall Size=6""ø | Pressure Drop=0.00 in-wg | Size Lock=False | Velocity Pressure=0.02 in-wg"
1054470,Flex Ducts,,Flex - Round,L 0,,Mechanical Supply Air 1,Supply Air,,,"6""ø","6""",,,"2' - 10 5/8""",,,,,,"0""","0""",180 m³/h,180 m³/h,0.00 in-wg,,,,,,,,2,3.531,,6,,,,"Additional Flow=0 m³/h | Diameter=6"" | Flow=180 m³/h | Free Size=6""ø | Hydraulic Diameter=6"" | Insulation Thickness=0"" | Length=2' - 10 5/8"" | Lining Thickness=0"" | Overall Size=6""ø | Pressure Drop=0.00 in-wg | Size Lock=False | Velocity Pressure=0.02 in-wg"
1054476,Flex Ducts,,Flex - Round,L 0,,Mechanical Supply Air 1,Supply Air,,,"6""ø","6""",,,"2' - 10 5/8""",,,,,,"0""","0""",180 m³/h,180 m³/h,0.00 in-wg,,,,,,,,2,3.531,,6,,,,"Additional Flow=0 m³/h | Diameter=6"" | Flow=180 m³/h | Free Size=6""ø | Hydraulic Diameter=6"" | Insulation Thickness=0"" | Length=2' - 10 5/8"" | Lining Thickness=0"" | Overall Size=6""ø | Pressure Drop=0.00 in-wg | Size Lock=False | Velocity Pressure=0.02 in-wg"
1054492,Duct Fittings,Rectangular Transition - Angle,45 Degree,L 0,,Mechanical Supply Air 1,Supply Air,,,"6""x8""-6""x6""",,,,"5 1/2""x8""-5 1/2""x5 1/2""",0 SF,0.06 CF,,,,"0""","0""",,,0.00 in-wg,,,,,,,,2,3.531,,,5.5,8,,"Area=0 SF | Computed Length=3"" | Duct Height 1=8"" | Duct Height 2=6"" | Duct Length=3"" | Duct Width 1=6"" | Duct Width 2=6"" | Free Size=5 1/2""x8""-5 1/2""x5 1/2"" | Half Height 1=4"" | Half Height 2=3"" | Half Width 1=3"" | Half Width 2=3"" | HeightDelta=3"" | HeightOffset=120"" | Insulation Thickness=0"" | Length 1=3"" | Length 2=2"" | Lining Thickness=0"" | OffsetHeight=4"" | OffsetWidth=2 3/4"" | Overall Size=5 1/2""x8""-5 1/2""x5 1/2"" | Pressure Drop=0.00 in-wg | Size=6""x8""-6""x6"" | Volume=0.06 CF | WidthDelta=0"" | WidthOffset=120"""
1054494,Duct Fittings,Rectangular Transition - Angle,45 Degree,L 0,,Mechanical Supply Air 1,Supply Air,,,"6""x10""-6""x6""",,,,"5 1/2""x10""-5 1/2""x5 1/2""",1 SF,0.13 CF,,,,"0""","0""",,,0.00 in-wg,,,,,,,,2,3.531,,,5.5,10,,"Area=1 SF | Computed Length=5"" | Duct Height 1=10"" | Duct Height 2=6"" | Duct Length=5"" | Duct Width 1=6"" | Duct Width 2=6"" | Free Size=5 1/2""x10""-5 1/2""x5 1/2"" | Half Height 1=5"" | Half Height 2=3"" | Half Width 1=3"" | Half Width 2=3"" | HeightDelta=5"" | HeightOffset=120"" | Insulation Thickness=0"" | Length 1=5"" | Length 2=2"" | Lining Thickness=0"" | OffsetHeight=5"" | OffsetWidth=2 3/4"" | Overall Size=5 1/2""x10""-5 1/2""x5 1/2"" | Pressure Drop=0.00 in-wg | Size=6""x10""-6""x6"" | Volume=0.13 CF | WidthDelta=0"" | WidthOffset=120"""
1054496,Duct Fittings,Rectangular Transition - Angle,45 Degree,L 0,,Mechanical Supply Air 1,Supply Air,,,"6""x8""-6""x6""",,,,"5 1/2""x8""-5 1/2""x5 1/2""",0 SF,0.06 CF,,,,"0""","0""",,,0.00 in-wg,,,,,,,,2,3.531,,,5.5,8,,"Area=0 SF | Computed Length=3"" | Duct Height 1=8"" | Duct Height 2=6"" | Duct Length=3"" | Duct Width 1=6"" | Duct Width 2=6"" | Free Size=5 1/2""x8""-5 1/2""x5 1/2"" | Half Height 1=4"" | Half Height 2=3"" | Half Width 1=3"" | Half Width 2=3"" | HeightDelta=3"" | HeightOffset=120"" | Insulation Thickness=0"" | Length 1=3"" | Length 2=2"" | Lining Thickness=0"" | OffsetHeight=4"" | OffsetWidth=2 3/4"" | Overall Size=5 1/2""x8""-5 1/2""x5 1/2"" | Pressure Drop=0.00 in-wg | Size=6""x8""-6""x6"" | Volume=0.06 CF | WidthDelta=0"" | WidthOffset=120"""
1054498,Duct Fittings,Rectangular Transition - Angle,45 Degree,L 0,,Mechanical Supply Air 1,Supply Air,,,"6""x10""-6""x6""",,,,"5 1/2""x10""-5 1/2""x5 1/2""",1 SF,0.13 CF,,,,"0""","0""",,,0.00 in-wg,,,,,,,,2,3.531,,,5.5,10,,"Area=1 SF | Computed Length=5"" | Duct Height 1=10"" | Duct Height 2=6"" | Duct Length=5"" | Duct Width 1=6"" | Duct Width 2=6"" | Free Size=5 1/2""x10""-5 1/2""x5 1/2"" | Half Height 1=5"" | Half Height 2=3"" | Half Width 1=3"" | Half Width 2=3"" | HeightDelta=5"" | HeightOffset=120"" | Insulation Thickness=0"" | Length 1=5"" | Length 2=2"" | Lining Thickness=0"" | OffsetHeight=5"" | OffsetWidth=2 3/4"" | Overall Size=5 1/2""x10""-5 1/2""x5 1/2"" | Pressure Drop=0.00 in-wg | Size=6""x10""-6""x6"" | Volume=0.13 CF | WidthDelta=0"" | WidthOffset=120"""
