ElementId,Category,Family,Type,Level,Mark,Assembly Code,Assembly Description,Length,Width,Depth,Height,Area,Volume,Weight,Unit Weight,Material,Type Comments,Base Level,Top Level,Base Offset,Top Offset,Comments,Parameter Snapshot
1249438,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 0""","0' - 8""",,,116 SF,77.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",,"Area=116 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=77.33 CF | Width=0' - 8"""
1249463,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 0""","0' - 8""",,,116 SF,77.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",,"Area=116 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=77.33 CF | Width=0' - 8"""
1249493,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 0""","0' - 8""",,,116 SF,77.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",,"Area=116 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=77.33 CF | Width=0' - 8"""
1249530,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 0""","0' - 8""",,,116 SF,77.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",,"Area=116 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=77.33 CF | Width=0' - 8"""
1249558,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 0""","0' - 8""",,,116 SF,77.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",,"Area=116 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=77.33 CF | Width=0' - 8"""
1249706,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 0""","0' - 8""",,,116 SF,77.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",,"Area=116 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=77.33 CF | Width=0' - 8"""
1249741,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 0""","0' - 8""",,,116 SF,77.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",,"Area=116 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=77.33 CF | Width=0' - 8"""
1249833,Walls,,"Generic - 8"" - EXTERIOR",L 1,,B2010,Exterior Walls,"10' - 4""","0' - 8""",,,124 SF,79.22 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",,"Area=124 SF | Assembly Code=B2010 | Assembly Description=Exterior Walls | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - EXTERIOR | Length=10' - 4"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - EXTERIOR | Type Id=Generic - 8"" - EXTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijB | Type Mark=G06 | Type Name=Generic - 8"" - EXTERIOR | Unconnected Height=12' - 0"" | Volume=79.22 CF | Width=0' - 8"""
1249864,Walls,,Storefront - EXTERIOR ISLAND,L 1,,B2010,Exterior Walls,"68' - 4""",,,,812 SF,,,,,,,,"0' - 0""","0' - 0""",,"Adjust for Mullion Size=False | Area=812 SF | Assembly Code=B2010 | Assembly Description=Exterior Walls | Base Offset=0' - 0"" | Border 1 Type=2.5"" x 5"" rectangular | Border 2 Type=2.5"" x 5"" rectangular | Export Type to IFC=0 | Family and Type=Storefront - EXTERIOR ISLAND | Interior Type=2.5"" x 5"" rectangular | Length=68' - 4"" | Offset=0' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Storefront - EXTERIOR ISLAND | Type Id=Storefront - EXTERIOR ISLAND | Type IfcGUID=21niu4ukDA1u2Qnv1EMNlF | Type Mark=CW03 | Type Name=Storefront - EXTERIOR ISLAND | Unconnected Height=12' - 0"""
1249905,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 4""","0' - 8""",,,120 SF,76.67 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",,"Area=120 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 4"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=76.67 CF | Width=0' - 8"""
1249986,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 4""","0' - 8""",,,110 SF,73.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",,"Area=110 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 4"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=15' - 0"" | Volume=73.33 CF | Width=0' - 8"""
1250022,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 4""","0' - 8""",,,110 SF,73.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",,"Area=110 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 4"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=15' - 0"" | Volume=73.33 CF | Width=0' - 8"""
1250048,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 4""","0' - 8""",,,110 SF,73.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",,"Area=110 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 4"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=15' - 0"" | Volume=73.33 CF | Width=0' - 8"""
1250076,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 4""","0' - 8""",,,110 SF,73.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",,"Area=110 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 4"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=15' - 0"" | Volume=73.33 CF | Width=0' - 8"""
1250100,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 4""","0' - 8""",,,110 SF,73.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",,"Area=110 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 4"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=15' - 0"" | Volume=73.33 CF | Width=0' - 8"""
1250193,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 4""","0' - 8""",,,110 SF,73.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",,"Area=110 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 4"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=15' - 0"" | Volume=73.33 CF | Width=0' - 8"""
1250299,Walls,,"Generic - 8"" - INTERIOR",L 1,,C1010,Partitions,"10' - 0""","0' - 8""",,,124 SF,82.67 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",,"Area=124 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=10' - 0"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=12' - 0"" | Volume=82.67 CF | Width=0' - 8"""
1250623,Walls,,"Generic - 8"" - INTERIOR",L -1,,C1010,Partitions,"57' - 3 1/4""","0' - 8""",,,2419 SF,1612.91 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",,"Area=2419 SF | Assembly Code=C1010 | Assembly Description=Partitions | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - INTERIOR | Length=57' - 3 1/4"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - INTERIOR | Type Id=Generic - 8"" - INTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijW | Type Mark=G06 | Type Name=Generic - 8"" - INTERIOR | Unconnected Height=42' - 0"" | Volume=1612.91 CF | Width=0' - 8"""
1250661,Walls,,"Generic - 8"" - EXTERIOR",L -1,,B2010,Exterior Walls,"14' - 10""","0' - 8""",,,595 SF,396.33 CF,,,Default Wall,,,,"0' - 0""","0' - 0""",,"Area=595 SF | Assembly Code=B2010 | Assembly Description=Exterior Walls | Base Offset=0' - 0"" | Export Type to IFC=0 | Family and Type=Generic - 8"" - EXTERIOR | Length=14' - 10"" | Related to Mass=False | Top Offset=0' - 0"" | Type=Generic - 8"" - EXTERIOR | Type Id=Generic - 8"" - EXTERIOR | Type IfcGUID=0YBSLlf6P0RPb$5Z_TbijB | Type Mark=G06 | Type Name=Generic - 8"" - EXTERIOR | Unconnected Height=45' - 0"" | Volume=396.33 CF | Width=0' - 8"""
1253844,Doors,Door-Passage-Single-Flush,"36"" x 84""",L 1,101,C1020,Interior Doors,,"3' - 0""","0' - 1 3/4""","7' - 0""",54 SF,4.85 CF,,,Aluminum; Wood - Birch; Metal - Paint Finish - Grey,,,,,,,"Area=54 SF | Assembly Code=C1020 | Assembly Description=Interior Doors | Door Handle Material=Aluminum | Export Type to IFC=0 | Family and Type=36"" x 84"" | Frame Material=Metal - Paint Finish - Grey | Head Height=7' - 0"" | Height=7' - 0"" | Level=L 1 | Mark=101 | Masonry Frame Depth=0' - 5 3/4"" | MF Opening Height=0' - 4"" | MF Opening Width=0' - 4"" | Panel Material=Wood - Birch | Rough Height=7' - 4"" | Rough Width=3' - 4"" | Sill Height=0' - 0"" | Strike Height=3' - 4"" | Thickness=0' - 1 3/4"" | Type=36"" x 84"" | Type Id=36"" x 84"" | Type IfcGUID=3txS939Df6TQnAmwoSbdHD | Type Mark=11 | Type Name=36"" x 84"" | Volume=4.85 CF | Width=3' - 0"""
1253878,Doors,Door-Passage-Single-Flush,"36"" x 84""",L 1,102,C1020,Interior Doors,,"3' - 0""","0' - 1 3/4""","7' - 0""",54 SF,4.85 CF,,,Aluminum; Wood - Birch; Metal - Paint Finish - Grey,,,,,,,"Area=54 SF | Assembly Code=C1020 | Assembly Description=Interior Doors | Door Handle Material=Aluminum | Export Type to IFC=0 | Family and Type=36"" x 84"" | Frame Material=Metal - Paint Finish - Grey | Head Height=7' - 0"" | Height=7' - 0"" | Level=L 1 | Mark=102 | Masonry Frame Depth=0' - 5 3/4"" | MF Opening Height=0' - 4"" | MF Opening Width=0' - 4"" | Panel Material=Wood - Birch | Rough Height=7' - 4"" | Rough Width=3' - 4"" | Sill Height=0' - 0"" | Strike Height=3' - 4"" | Thickness=0' - 1 3/4"" | Type=36"" x 84"" | Type Id=36"" x 84"" | Type IfcGUID=3txS939Df6TQnAmwoSbdHD | Type Mark=11 | Type Name=36"" x 84"" | Volume=4.85 CF | Width=3' - 0"""
1253904,Doors,Door-Passage-Single-Flush,"36"" x 84""",L 1,103,C1020,Interior Doors,,"3' - 0""","0' - 1 3/4""","7' - 0""",54 SF,4.85 CF,,,Aluminum; Wood - Birch; Metal - Paint Finish - Grey,,,,,,,"Area=54 SF | Assembly Code=C1020 | Assembly Description=Interior Doors | Door Handle Material=Aluminum | Export Type to IFC=0 | Family and Type=36"" x 84"" | Frame Material=Metal - Paint Finish - Grey | Head Height=7' - 0"" | Height=7' - 0"" | Level=L 1 | Mark=103 | Masonry Frame Depth=0' - 5 3/4"" | MF Opening Height=0' - 4"" | MF Opening Width=0' - 4"" | Panel Material=Wood - Birch | Rough Height=7' - 4"" | Rough Width=3' - 4"" | Sill Height=0' - 0"" | Strike Height=3' - 4"" | Thickness=0' - 1 3/4"" | Type=36"" x 84"" | Type Id=36"" x 84"" | Type IfcGUID=3txS939Df6TQnAmwoSbdHD | Type Mark=11 | Type Name=36"" x 84"" | Volume=4.85 CF | Width=3' - 0"""
1254012,Doors,Door-Passage-Single-Flush,"36"" x 84""",L 1,104,C1020,Interior Doors,,"3' - 0""","0' - 1 3/4""","7' - 0""",54 SF,4.85 CF,,,Aluminum; Wood - Birch; Metal - Paint Finish - Grey,,,,,,,"Area=54 SF | Assembly Code=C1020 | Assembly Description=Interior Doors | Door Handle Material=Aluminum | Export Type to IFC=0 | Family and Type=36"" x 84"" | Frame Material=Metal - Paint Finish - Grey | Head Height=7' - 0"" | Height=7' - 0"" | Level=L 1 | Mark=104 | Masonry Frame Depth=0' - 5 3/4"" | MF Opening Height=0' - 4"" | MF Opening Width=0' - 4"" | Panel Material=Wood - Birch | Rough Height=7' - 4"" | Rough Width=3' - 4"" | Sill Height=0' - 0"" | Strike Height=3' - 4"" | Thickness=0' - 1 3/4"" | Type=36"" x 84"" | Type Id=36"" x 84"" | Type IfcGUID=3txS939Df6TQnAmwoSbdHD | Type Mark=11 | Type Name=36"" x 84"" | Volume=4.85 CF | Width=3' - 0"""
1254052,Doors,Door-Passage-Single-Flush,"36"" x 84""",L 1,105,C1020,Interior Doors,,"3' - 0""","0' - 1 3/4""","7' - 0""",54 SF,4.85 CF,,,Aluminum; Wood - Birch; Metal - Paint Finish - Grey,,,,,,,"Area=54 SF | Assembly Code=C1020 | Assembly Description=Interior Doors | Door Handle Material=Aluminum | Export Type to IFC=0 | Family and Type=36"" x 84"" | Frame Material=Metal - Paint Finish - Grey | Head Height=7' - 0"" | Height=7' - 0"" | Level=L 1 | Mark=105 | Masonry Frame Depth=0' - 5 3/4"" | MF Opening Height=0' - 4"" | MF Opening Width=0' - 4"" | Panel Material=Wood - Birch | Rough Height=7' - 4"" | Rough Width=3' - 4"" | Sill Height=0' - 0"" | Strike Height=3' - 4"" | Thickness=0' - 1 3/4"" | Type=36"" x 84"" | Type Id=36"" x 84"" | Type IfcGUID=3txS939Df6TQnAmwoSbdHD | Type Mark=11 | Type Name=36"" x 84"" | Volume=4.85 CF | Width=3' - 0"""
1254200,Doors,Door-Passage-Single-Flush,"36"" x 84""",L 1,106,C1020,Interior Doors,,"3' - 0""","0' - 1 3/4""","7' - 0""",54 SF,4.85 CF,,,Aluminum; Wood - Birch; Metal - Paint Finish - Grey,,,,,,,"Area=54 SF | Assembly Code=C1020 | Assembly Description=Interior Doors | Door Handle Material=Aluminum | Export Type to IFC=0 | Family and Type=36"" x 84"" | Frame Material=Metal - Paint Finish - Grey | Head Height=7' - 0"" | Height=7' - 0"" | Level=L 1 | Mark=106 | Masonry Frame Depth=0' - 5 3/4"" | MF Opening Height=0' - 4"" | MF Opening Width=0' - 4"" | Panel Material=Wood - Birch | Rough Height=7' - 4"" | Rough Width=3' - 4"" | Sill Height=0' - 0"" | Strike Height=3' - 4"" | Thickness=0' - 1 3/4"" | Type=36"" x 84"" | Type Id=36"" x 84"" | Type IfcGUID=3txS939Df6TQnAmwoSbdHD | Type Mark=11 | Type Name=36"" x 84"" | Volume=4.85 CF | Width=3' - 0"""
